given_name,family_name,date_of_birth,place_of_birth
Elizabeth,Duff,1899-12-11,Newton Stewart
Winifred,Findlay,1894-11-20,Lerwick
Arthur,Allan,1942-03-24,Oban
Jean,Williams,1955-01-12,Buckie
Alexander,Wilson,1952-08-27,Wick
Joseph,Brown,1917-08-20,Ballymoney
Samuel,Walker,1895-10-23,Brechin
Ronald,Ritchie,1883-09-29,Armagh
Colin,Williamson,1895-09-04,Lisburn
Hilda,Johnston,1847-03-24,Lockerbie
Ruth,Smith,1907-05-29,Peterhead
Harold,Hopkins,1914-04-29,Invergordon
Steven,Doyle,1878-11-12,Strabane
Sean,Styles,1901-02-18,Selkirk
Sarah,Ferguson,1944-11-26,Dungannon
Colin,McKay,1938-11-26,Newry
Margaret,Taylor,1931-10-19,Musselburgh
Alan,Cunningham,1947-10-23,Castle Douglas
Dorothy,Bruce,1847-08-07,Hawick
Edith,Duncan,1954-05-22,Forfar
Ruth,Clark,1943-04-04,Aberdeen
Sheila,Hunter,1966-01-05,Kirriemuir
Beatrice,Craig,1902-12-29,Wick
George,Watt,1981-07-02,Kinross
Edith,Sinclair,1890-03-24,Newtownards
Norman,Cunningham,1879-08-25,Dundee
Jane,Allan,1843-03-08,Lisburn
Sheila,Venters,1924-04-15,Alloa
Ruth,Molnar,1925-10-28,Bangor
Doris,Renshaw,1949-06-17,Kirkintilloch
Thirza,Morrison,1887-01-16,Buckie
Nellie,Venters,1954-05-30,Alloa
Dorothy,Norman,1892-09-08,Huntly
George,Martin,1911-10-24,Fraserburgh
Ruth,Kennedy,1842-11-10,Enniskillen
Doris,Currie,1863-10-03,Anstruther
Jane,Kennedy,1851-05-03,Kirriemuir
Alan,Anderson,1974-01-13,Carluke
Stanley,Wallis,1903-09-10,Cupar
Christopher,Jeffery,1977-01-04,Lurgan
Harold,Murray,1869-01-04,Paisley
Harold,Findlay,1882-03-26,Lisburn
Joseph,Millar,1984-08-30,Bathgate
Harold,Reid,1853-09-24,Barrhead
Joseph,Clements,1951-02-22,Portsoy
Violet,Fraser,1967-05-09,Tillicoultry
Charles,Bennett,1946-01-03,Edinburgh
Frederick,Reid,1854-10-08,Airdrie
Sarah,Renshaw,1938-10-04,Greenock
Norman,Paterson,1975-02-24,Milngavie
Christopher,Scott,1848-08-15,Bangor
Joseph,MacDonald,1903-06-28,Tillicoultry
Christopher,Millar,1962-03-06,Clydebank
Nancy,Gray,1882-01-28,Aberdeen
Frederick,Brown,1962-09-13,Campbeltown
Ada,Brown,1899-07-13,Dundee
Amos,Walker,1851-10-06,Airdrie
Josephine,Chandler,1977-11-21,Barrhead
Kathleen,Venters,1946-02-23,Enniskillen
Kathleen,Jeffery,1914-07-07,Bangor
Ian,Robertson,1872-06-09,Coleraine
Muriel,Stevenson,1914-04-13,Dumbarton
Iris,Williamson,1847-04-09,Lanark
Iris,Duncan,1923-06-28,Falkirk
Hugh,Scott,1848-09-11,Dromore
Janet,Marshall,1890-03-25,Dungannon
Nancy,Humphreys,1881-05-01,Kirkcaldy
Edward,Crawford,1907-11-12,Inverness
Jane,Watt,1980-12-25,Lerwick
Ethel,Gray,1956-05-25,Dungannon
Olive,Penney,1980-02-08,Annan
Peter,Hyam,1925-02-08,Glasgow
Josephine,Allan,1936-04-19,Airdrie
Iris,Martin,1840-08-02,Banff
Ethel,Douglas,1874-04-01,Lisburn
Anne,Clark,1962-03-22,Ardrossan
Betty,Wood,1988-04-09,Montrose
William,Williamson,1929-09-22,Clydebank
Richard,McKay,1854-02-20,Musselburgh
Olive,Doyle,1934-07-20,Stornoway
Philip,Campbell,1965-02-11,Dromore
Grace,Scott,1911-04-01,Arbroath
Margaret,Clements,1917-11-03,Clydebank
Anne,Young,1855-11-15,Fraserburgh
Patrick,Sinclair,1989-04-23,Londonderry
Edward,Hyam,1858-04-04,Montrose
Alan,Robertson,1988-02-11,Airdrie
Peter,Johnston,1848-02-26,Newton Stewart
Violet,Hamilton,1909-01-12,Portadown
David,Mclaughlan,1889-05-02,St Andrews
Jean,Henderson,1981-03-13,Dalbeattie
Thomas,Duff,1913-03-03,Cupar
Betty,Clements,1863-07-20,Armagh
Ada,Allan,1964-06-07,Forres
Robert,Rogerson,1926-07-08,Ardrossan
Thirza,Morrison,1858-01-11,Wishaw
Philip,Reid,1878-11-11,Kirkcaldy
Robert,Farrow,1931-02-19,Falkirk
Edith,Watt,1875-03-07,Stonehaven
George,Cash,1842-05-10,Lockerbie
Arthur,Stevenson,1945-07-13,Helensburgh
Florence,Thomson,1947-12-16,Brechin
Leonard,Grant,1939-03-06,Inverness
Philip,Black,1840-11-27,Keith
Catherine,McKay,1889-11-23,Dalkeith
Ronald,Currie,1913-03-30,Dungannon
Ruth,Robertson,1908-12-23,West Calder
Ada,Hyam,1846-01-08,Ayr
Josephine,Kerr,1967-01-30,Lerwick
Kenneth,Wilson,1961-06-06,Aberdeen
Ruth,Duff,1866-09-21,Peterhead
Violet,Dixon,1901-09-25,Dufftown
Edith,Clements,1938-01-29,Peterhead
Thirza,Black,1897-12-06,Forres
Edward,Rogerson,1937-04-13,Fraserburgh
Dorothy,Milne,1870-01-01,Dromore
Elsie,Mclaughlan,1890-05-21,Dufftown
Anne,Grant,1948-06-26,Hawick
William,Ferguson,1890-08-20,Coatbridge
Anne,Wright,1980-06-04,Ayr
Michael,Bruce,1925-04-19,West Calder
Thomas,Ross,1900-01-12,Londonderry
Ronald,Robertson,1841-08-23,Tillicoultry
Edward,Helm,1855-03-23,Wick
Jose,Martin,1970-03-18,Hawick
Harold,Rogerson,1919-10-27,Carluke
Joseph,Norman,1897-02-08,Lurgan
Doris,Simpson,1897-06-14,Nairn
Margaret,Stewart,1891-12-24,Thurso
Alan,Bell,1917-12-22,Buckie
Kenneth,Walker,1929-05-28,Linlithgow
Kathleen,Hamilton,1911-05-03,Linlithgow
Joseph,Bennett,1881-01-16,Enniskillen
Muriel,Campbell,1918-08-11,Lerwick
Robert,Simpson,1899-01-30,Banbridge
Daniel,Burns,1937-03-18,Cupar
Dorothy,Graham,1931-12-27,Selkirk
Amos,Hopkins,1961-10-18,Motherwell
Ian,Robertson,1873-03-01,Castle Douglas
Robert,Brown,1973-04-03,Motherwell
Muriel,Paterson,1968-09-18,Stornoway
Ronald,Murray,1922-12-22,Dalry
Ada,Wood,1895-04-16,Kirriemuir
Jose,Ritchie,1978-08-24,Kirkcaldy
Elizabeth,Cash,1897-09-24,Kilsyth
Sheila,Gray,1904-01-31,Campbeltown
Josephine,Hunter,1970-10-05,Wick
Catherine,Robertson,1865-12-18,Dumbarton
Susan,Cunningham,1860-12-14,Kirkintilloch
Grace,Shaw,1874-07-26,Keith
Sean,Wood,1865-09-16,Blairgowrie
Donald,Walker,1851-03-18,West Calder
Nancy,Currie,1983-10-11,Bellshill
Colin,Kennedy,1890-12-13,Kirriemuir
Harold,Milne,1867-05-26,Ballymena
Thomas,Joynson,1893-10-16,Banbridge
Leonard,Humphreys,1924-03-15,Anstruther
Olive,Bruce,1869-03-13,Lockerbie
Susan,Beetham,1855-10-12,Strabane
Philip,Helm,1973-07-04,Langholm
Grace,Hyam,1845-03-28,Cookstown
Nellie,Taylor,1905-01-18,Bridge of Allan
Beatrice,Hay,1913-05-07,Motherwell
Daniel,Bentham,1907-09-30,Dufftown
Sarah,Clark,1869-12-06,Dalbeattie
Nancy,Clements,1862-11-21,Elgin
Alexander,Hyam,1970-04-24,Rothesay
Winifred,Gordon,1870-10-17,Jedburgh
Ronald,Ghillyer,1950-07-09,Dalkeith
Ronald,Walker,1910-10-25,Selkirk
John,Morrison,1983-11-05,Dalry
Joseph,Black,1946-06-21,Fraserburgh
Richard,Munro,1962-10-27,Coleraine
David,Sinclair,1864-05-08,Londonderry
Elsie,Allan,1959-02-19,Jedburgh
Agnes,Graham,1989-03-11,Peterhead
Robert,Marshall,1881-08-16,Stonehaven
Jonathan,Hutchinson,1894-07-13,Lerwick
David,Doyle,1911-09-19,Langholm
Edith,Stevenson,1947-07-31,Kilmarnock
Arthur,Denton,1926-08-24,Campbeltown
Harold,Clark,1858-09-24,Barrhead
Elizabeth,Hamilton,1881-11-02,Buckie
Sean,Simpson,1957-03-25,Falkirk
William,Morrison,1905-06-18,Carluke
Alexander,Denton,1903-01-29,Annan
Jose,Burns,1917-06-17,Dalbeattie
Albert,Booth,1884-04-08,Glasgow
James,Farrow,1942-12-06,Alloa
Michael,Barth,1874-07-23,Dungannon
Muriel,Hetherington,1912-09-18,Coatbridge
Kathleen,Ghillyer,1951-09-22,Londonderry
Robert,Watson,1894-06-13,Lisburn
Florence,Shaw,1954-02-22,Newtownards
Muriel,Penney,1888-03-09,Lerwick
Alexander,Stevenson,1990-08-20,Castle Douglas
Florence,Kennedy,1986-08-12,Dundee
Frederick,Joynson,1933-05-11,Falkirk
Frederick,Barth,1858-08-23,Thurso
Hilda,Burns,1972-07-03,Ballymena
Janet,Ferguson,1984-02-29,Dromore
Hilda,Black,1913-07-21,Elgin
Stanley,Jones,1944-10-26,Irvine
David,Black,1914-04-06,Bellshill
Daniel,Hyam,1977-03-04,Coatbridge
Josephine,Kerr,1857-12-02,Motherwell
Lily,Ghillyer,1883-11-15,Oban
Jonathan,Hyam,1862-06-21,Blairgowrie
Doris,Watson,1957-04-07,Hamilton
Leonard,Hay,1949-07-23,Forres
Christopher,Cunningham,1950-02-23,Omagh
Charles,Ritchie,1940-02-16,Kelso
Ruth,Booth,1891-01-16,Portadown
Margaret,Hetherington,1984-10-01,Omagh
Mary,Douglas,1947-03-04,Dumbarton
Catherine,Clements,1896-10-08,Stranraer
Doris,Crawford,1984-05-22,Bellshill
Ethel,Shaw,1903-06-28,Kilsyth
Edward,Duncan,1924-01-11,Crieff
Colin,McKay,1915-05-02,Kirkintilloch
Christopher,Wallace,1889-12-21,Dalbeattie
Betty,Styles,1919-02-18,Golspie
Samuel,Jones,1956-10-17,Musselburgh
Samuel,Henderson,1923-05-22,Golspie
William,Booth,1859-05-30,Haddington
James,Currie,1844-01-18,Strabane
Thomas,Joynson,1859-05-26,Stirling
Arthur,Hay,1884-01-01,Grantown-on-Spey
Philip,Penney,1938-01-28,Coatbridge
Hilda,Bruce,1863-02-28,Ayr
Beatrice,Black,1971-07-15,Bellshill
Michael,Johnston,1976-01-14,Londonderry
Ethel,Ross,1840-04-01,Stirling
Sidney,Hunter,1923-12-02,Elgin
Jonathan,Doyle,1981-09-25,Oban
Kathleen,Jeffery,1877-10-26,Hamilton
Jonathan,Cash,1890-05-27,Newry
Dorothy,Latham,1986-12-11,St Andrews
Patrick,Morrison,1948-03-23,Lanark
Norman,Marshall,1899-04-14,Elgin
Doris,Martin,1874-05-05,Ballymoney
Henry,Duff,1914-08-30,Banbridge
Alice,Venters,1861-06-19,Dumbarton
Violet,Bruce,1962-03-20,Newton Stewart
Catherine,Milne,1869-04-02,Brechin
Andrew,Findlay,1883-07-29,Edinburgh
Anne,Anderson,1841-09-07,Enniskillen
Kathleen,Wood,1885-06-07,Helensburgh
Doris,Anderson,1852-05-20,Kirriemuir
Andrew,Graham,1896-06-29,Glasgow
Peter,Douglas,1932-05-27,Nairn
Jane,Duncan,1897-09-27,Dunfermline
Philip,Gordon,1880-03-24,Aberdeen
Steven,Graham,1983-04-05,Carluke
Alan,Kerr,1986-07-09,Kirkintilloch
George,Smith,1885-07-06,Leven
Susan,Milne,1936-06-12,Annan
Ruth,Joynson,1946-11-23,Lanark
Violet,Fraser,1905-01-11,Glasgow
Patrick,Burns,1952-09-12,Montrose
Harold,Venters,1922-05-17,Montrose
Patrick,Shaw,1902-06-07,Airdrie
Donald,Smith,1979-12-31,Omagh
Jonathan,Bentham,1965-03-05,Milngavie
Stanley,McKay,1952-11-18,Kilsyth
Sheila,Renshaw,1943-01-19,Motherwell
Joseph,Hetherington,1886-11-01,Nairn
Anne,Hunter,1858-09-04,Glasgow
Beatrice,Latham,1880-08-05,Haddington
Kathleen,Stevenson,1962-05-23,Haddington
Helen,Murray,1902-09-11,Dumbarton
Arthur,Graham,1975-01-17,Anstruther
Richard,Reid,1913-04-19,Kelso
Stanley,Hutchinson,1969-09-04,Stonehaven
Josephine,Mclaughlan,1967-09-23,Langholm
Michael,Wilson,1877-04-05,Ballymoney
Jonathan,Shaw,1931-02-03,Peterhead
Agnes,Craig,1983-10-20,Ballymoney
Norman,Hetherington,1854-03-30,Ayr
Amos,Penney,1842-12-02,Dunfermline
Sheila,Chandler,1853-01-13,Helensburgh
Alice,Wilson,1867-07-18,Fraserburgh
Jean,Smith,1958-03-05,Castle Douglas
Josephine,Chandler,1947-08-17,Anstruther
Ronald,Williamson,1981-09-02,Invergordon
Beatrice,Doyle,1873-09-10,Grantown-on-Spey
Winifred,Dixon,1924-05-31,Banbridge
David,Ferguson,1888-04-18,Bathgate
Doris,Kennedy,1975-11-29,West Calder
Nancy,Clark,1889-03-16,Kirkcaldy
Harold,Sinclair,1989-10-10,Lanark
Edward,Thomson,1891-01-06,Coatbridge
David,Hay,1934-09-15,Banbridge
Harold,Smith,1890-10-01,Galashiels
Andrew,Cash,1848-07-05,Greenock
Joseph,Morrison,1890-09-06,Elgin
Mary,Helm,1851-12-24,Portadown
Susan,Hay,1934-01-13,Lockerbie
Ruth,Martin,1964-12-10,Linlithgow
Margaret,Hetherington,1964-04-17,Irvine
Henry,Bruce,1923-08-02,Thurso
Anne,Farrow,1984-09-07,Glasgow
Kenneth,Ross,1872-07-16,Stornoway
Winifred,Simpson,1942-06-16,Stranraer
Lily,Bruce,1951-03-24,Greenock
Alan,Latham,1859-07-21,Huntly
Beatrice,Bennett,1956-06-11,Clydebank
Lily,Kennedy,1968-08-01,Linlithgow
George,Sinclair,1843-10-25,Milngavie
Margaret,Duncan,1915-03-18,Kilmarnock
Gladys,Walker,1865-09-21,Musselburgh
Dorothy,Hay,1971-07-23,Dalkeith
Ronald,Reid,1954-08-31,Londonderry
Muriel,Wright,1984-09-27,Omagh
Alice,Bruce,1951-05-02,Linlithgow
Harold,Ferguson,1917-02-23,Portsoy
Sidney,Watt,1990-06-13,Kelso
Colin,Watson,1889-12-17,Kirriemuir
David,Watson,1867-07-30,Greenock
Ian,Williams,1966-07-18,Hawick
Elizabeth,Mitchell,1960-03-28,West Calder
Anne,Marshall,1864-08-14,Dalry
Alice,Watt,1844-12-17,Newton Stewart
Sheila,Bruce,1909-08-20,Kirriemuir
Colin,Ross,1937-02-22,Ballymoney
Mary,Denton,1974-05-03,Kirkwall
Nellie,Watson,1844-04-23,Newry
Sean,Ghillyer,1873-09-03,Dalry
Dorothy,Barth,1877-12-03,Forres
Thomas,Ghillyer,1866-04-28,Tillicoultry
Christopher,Venters,1933-08-24,Kirkwall
Norman,Clark,1965-02-05,Galashiels
Joseph,Stewart,1853-01-30,Barrhead
Kathleen,Rogerson,1985-01-28,Nairn
Helen,MacDonald,1865-06-15,Selkirk
Elizabeth,Jones,1957-12-04,Larne
Thirza,Latham,1857-10-25,Clydebank
Joseph,Venters,1870-10-26,Perth
Henry,Latham,1875-11-15,West Calder
John,Brown,1901-12-14,Newtownards
Samuel,Allan,1915-04-16,Kirkcaldy
Betty,Chandler,1866-05-08,West Calder
Thirza,Molnar,1962-12-07,Stranraer
Winifred,Duff,1871-12-13,Inverness
Jonathan,Currie,1913-11-03,Haddington
Hugh,Hamilton,1887-01-14,Armagh
Olive,Millar,1954-06-05,Carluke
Charles,Williamson,1985-07-02,Stonehaven
Charles,MacDonald,1874-08-14,Leven
Muriel,Williamson,1966-06-24,Huntly
Alexander,Gordon,1869-08-31,Kinross
Michael,Allan,1960-03-25,Campbeltown
Janet,Sinclair,1967-07-27,Londonderry
Amos,Grant,1954-11-19,Linlithgow
Philip,Hopkins,1886-06-06,Carrickfergus
Edith,Milne,1840-06-28,Brechin
Joseph,Mitchell,1855-08-31,Dalbeattie
Sean,Duff,1890-10-26,Invergordon
Andrew,Gray,1882-10-26,Motherwell
Agnes,Allan,1879-03-09,Wick
Beatrice,Robertson,1842-01-04,Forfar
Beatrice,Latham,1984-03-16,Banbridge
Gladys,Molnar,1865-02-08,Portadown
Olive,Booth,1862-06-30,Montrose
Stanley,Stewart,1843-07-11,Stirling
Colin,Wilson,1976-02-13,Thurso
Thirza,Marshall,1882-02-11,Dingwall
Colin,Shaw,1907-03-16,Kirkintilloch
Ronald,Johnston,1983-10-11,Coatbridge
Peter,Mclaughlan,1856-10-18,Milngavie
Josephine,Gordon,1943-07-17,Nairn
David,Crawford,1959-12-09,Paisley
Joseph,Findlay,1859-04-11,Belfast
Sidney,Ghillyer,1882-05-19,Langholm
Elsie,Dixon,1980-02-11,Linlithgow
Ethel,Shaw,1980-11-01,Kirriemuir
Iris,Cash,1970-04-23,Jedburgh
Gladys,Kennedy,1925-10-12,Bangor
Amos,Cash,1941-02-10,Stonehaven
Charles,Rogerson,1864-10-01,Falkirk
Michael,Campbell,1865-04-09,Lanark
Albert,Farrow,1898-09-21,Newtownards
Alan,Shaw,1966-06-07,Wick
Edith,Duff,1927-07-28,Grantown-on-Spey
Thirza,Hamilton,1922-06-06,Dalbeattie
Amos,Anderson,1908-09-08,Inverness
Patrick,Stewart,1887-08-22,Lanark
Beatrice,Millar,1933-02-08,Londonderry
Violet,Williamson,1941-06-25,Kilsyth
Harold,MacDonald,1957-02-20,Airdrie
William,Walker,1931-11-27,Crieff
Hilda,Joynson,1863-08-20,Newry
Betty,Craig,1973-01-27,Larne
Mary,Hopkins,1934-12-24,Dalkeith
Lily,Morrison,1882-12-18,Langholm
Hilda,Simpson,1893-02-12,Lurgan
Florence,Hetherington,1962-07-29,Dundee
Patrick,Campbell,1865-08-14,Peterhead
Lily,Denton,1934-12-02,Lerwick
Alan,Thomson,1916-06-14,Cookstown
Patrick,Bell,1932-08-26,Wishaw
Mabel,Latham,1936-09-05,Peterhead
Alice,Watt,1881-02-25,Dunfermline
Doris,Taylor,1956-06-01,Downpatrick
Daniel,Penney,1977-01-12,Milngavie
Jean,Gordon,1924-12-01,Edinburgh
Janet,Duncan,1943-09-09,Annan
Nancy,Paterson,1921-08-21,Peterhead
Elsie,Penney,1939-09-01,Omagh
Philip,Douglas,1968-02-04,Enniskillen
Harold,Scott,1977-11-27,Lerwick
Thirza,Molnar,1947-07-09,Paisley
Betty,Shaw,1853-10-13,Linlithgow
Peter,Crawford,1953-02-06,Cupar
Richard,Martin,1944-12-24,Anstruther
Ethel,Venters,1956-02-21,Kirkintilloch
Nellie,Hamilton,1859-05-05,Downpatrick
Doris,Barth,1925-09-26,Downpatrick
Harold,Robertson,1916-09-29,Rothesay
Elizabeth,Ritchie,1984-12-01,Lurgan
Kathleen,Hamilton,1850-12-13,Banbridge
Christopher,Stevenson,1866-07-07,Inverness
Beatrice,Jeffery,1975-08-22,Lanark
Frederick,Crawford,1981-05-06,Galashiels
Elizabeth,Black,1972-12-22,Ardrossan
Leonard,Bentham,1861-12-09,Golspie
Daniel,Allan,1865-11-04,Dalbeattie
Ronald,Hyam,1974-08-15,Kirkcaldy
Jose,Findlay,1879-01-18,Ballymena
Agnes,Williamson,1862-06-27,Stonehaven
William,Hunter,1888-08-06,Wishaw
Doris,Reid,1972-05-16,Grantown-on-Spey
Doris,Stewart,1981-11-17,Helensburgh
Richard,Hunter,1984-10-26,Stirling
Josephine,Joynson,1950-05-01,Banff
Sidney,Fraser,1906-09-22,Campbeltown
Ada,Jeffery,1851-08-09,Lisburn
Nellie,Williamson,1875-10-29,Blairgowrie
Michael,Scott,1975-05-03,Haddington
Jonathan,Brown,1977-06-03,Kilsyth
Richard,Martin,1987-08-26,Dalry
Alexander,Johnston,1842-07-05,Elgin
Norman,Hunter,1967-11-11,Dalkeith
Elsie,Hetherington,1900-05-10,Kilmarnock
Kathleen,Duncan,1923-04-18,Rothesay
William,Ritchie,1923-08-18,Stornoway
Hilda,Watt,1941-07-07,Kirkcaldy
Anne,Bennett,1976-09-25,Elgin
Charles,Rogerson,1930-09-13,Dalry
Henry,Clark,1941-05-29,Carluke
Edward,Anderson,1888-04-11,Enniskillen
David,McKay,1905-06-01,Ardrossan
Joseph,Hay,1985-02-09,Cookstown
William,Duff,1900-11-06,West Calder
Ruth,Bentham,1935-04-08,Dalry
Betty,Doyle,1851-06-21,Lockerbie
Colin,Simpson,1938-01-17,Lockerbie
Winifred,Craig,1957-05-31,Bangor
Alexander,Walker,1963-08-08,Elgin
Gladys,Wood,1842-10-21,Port Glasgow
Margaret,Shaw,1974-06-10,Galashiels
Gladys,Walker,1867-04-11,Coatbridge
Betty,Farrow,1952-09-12,Anstruther
Nancy,Bell,1851-12-18,St Andrews
Robert,Fraser,1981-07-10,Airdrie
Elsie,Williamson,1979-07-19,Enniskillen
Jane,Burns,1841-06-12,Omagh
Colin,Kennedy,1850-07-09,Crieff
Beatrice,Milne,1845-09-27,Kinross
Sean,Shaw,1855-08-07,Glasgow
Margaret,Hamilton,1920-06-19,Haddington
Olive,Wright,1894-10-17,Newton Stewart
Susan,Joynson,1940-01-12,Bellshill
Stanley,Ferguson,1987-06-30,Enniskillen
Philip,Hay,1862-04-24,Kirkwall
Doris,Crawford,1976-07-03,Portadown
Robert,Helm,1983-04-22,Bellshill
Violet,Reid,1854-10-29,Tillicoultry
Hilda,Duncan,1984-11-03,Kilmarnock
Frederick,Jeffery,1984-11-20,Clydebank
Edith,Denton,1932-04-15,Hawick
Richard,Williamson,1957-11-11,Coleraine
Grace,Hutchinson,1975-12-30,Belfast
Samuel,Young,1903-01-05,Strabane
Lily,Marshall,1905-10-10,Cookstown
Kenneth,Joynson,1972-07-25,Newton Stewart
Kenneth,Shaw,1951-05-28,Lerwick
Nellie,Thomson,1951-02-19,Bathgate
Sidney,Ross,1975-08-29,Newry
Philip,Barth,1956-08-24,Brechin
Robert,Milne,1882-08-22,Lerwick
Alan,Bell,1880-07-09,Kinross
Ronald,Hunter,1895-02-13,Leven
Alan,Denton,1945-09-04,Cupar
Daniel,Stevenson,1862-07-27,Lurgan
Dorothy,Latham,1850-11-02,Portsoy
Samuel,Chandler,1865-04-13,Wishaw
Margaret,Venters,1847-05-23,Annan
Frederick,Norman,1869-09-20,Selkirk
Florence,Sinclair,1911-10-30,Blairgowrie
Patrick,Walker,1958-10-08,Campbeltown
Michael,Johnston,1840-05-24,Enniskillen
James,Brown,1953-10-13,Ballymoney
Gladys,Simpson,1964-07-10,Langholm
Ronald,Stevenson,1988-09-09,Glasgow
Kathleen,Smith,1949-07-22,Perth
Betty,Findlay,1932-01-21,Banff
Edward,Millar,1890-08-27,Glasgow
Norman,Denton,1966-12-27,Banff
Jose,Latham,1901-12-21,Jedburgh
Peter,Findlay,1986-08-12,Cookstown
Gladys,Joynson,1979-11-05,Galashiels
William,Clements,1983-01-17,Rothesay
Betty,Hay,1942-08-25,Ayr
Doris,Morrison,1861-04-29,Hawick
Stanley,Murray,1867-09-03,Glasgow
Betty,Shaw,1978-07-01,Oban
Charles,Cash,1848-10-02,Carrickfergus
Mary,Humphreys,1884-12-03,Annan
Thomas,Wallis,1906-07-25,Peebles
Sean,Mitchell,1956-09-17,Belfast
Philip,Dixon,1885-09-14,Leven
Grace,Ritchie,1895-08-14,Banff
Nellie,Booth,1852-09-25,Peebles
Edward,Hay,1858-04-04,Annan
Winifred,Venters,1854-10-01,Grantown-on-Spey
Doris,Johnston,1852-02-03,Inverness
Thirza,Ferguson,1906-09-04,Kirkcaldy
Helen,Kerr,1894-02-07,Bathgate
Jose,Rogerson,1849-08-26,Airdrie
Lily,Helm,1925-01-14,Carluke
Jonathan,Ross,1902-01-16,Carrickfergus
Dorothy,Watt,1865-09-08,Lurgan
Sean,Jeffery,1965-08-23,St Andrews
William,Humphreys,1966-12-14,Lurgan
David,Wright,1928-11-07,Crieff
Kathleen,Wallace,1979-03-31,Dungannon
Gladys,Hutchinson,1978-09-20,Banbridge
Ruth,Morrison,1922-03-25,Bellshill
Steven,Duff,1850-12-29,Stonehaven
Florence,Shaw,1848-03-08,Stornoway
Sidney,Anderson,1868-01-15,Hamilton
Nellie,Barth,1892-11-29,Kirkintilloch
Amos,Morrison,1857-03-21,Dingwall
Donald,Booth,1874-09-20,Fraserburgh
Arthur,Millar,1986-10-23,Stirling
Norman,Bell,1898-09-22,Kilsyth
Gladys,Fraser,1927-11-10,Forres
Ruth,Johnston,1930-04-28,Cookstown
Josephine,Findlay,1923-07-27,Larne
Stanley,Beetham,1985-11-26,Oban
Jean,Gordon,1866-09-25,Newry
Winifred,Hunter,1972-12-15,Keith
Beatrice,Thomson,1905-08-06,Helensburgh
Thirza,Grant,1848-12-01,Enniskillen
Susan,Denton,1877-11-09,Alloa
Winifred,Hay,1890-02-03,Golspie
Frederick,Joynson,1987-02-03,Arbroath
Betty,Wallace,1865-06-10,Elgin
